zip,latitude,longitude
44022,41.44747,-81.4045
44023,41.38732,-81.28858
44024,41.57668,-81.19112
44026,41.53182,-81.3305
44028,41.30986,-81.93959
44030,41.8973,-80.58061
44032,41.6658,-80.66954
44035,41.36539,-82.13025
44039,41.38404,-82.02014
44040,41.53128,-81.4112
44041,41.77579,-80.95223
44044,41.26779,-82.04188
44045,41.7461,-81.28512
44046,41.54157,-81.07227
44047,41.71887,-80.73921
44048,41.84697,-80.64343
44049,41.26626,-82.30553
44050,41.24853,-82.13119
44052,41.45519,-82.16133
44053,41.42694,-82.22138
44054,41.46419,-82.0931
44055,41.43309,-82.13354
44056,41.31465,-81.49868
44057,41.76675,-81.05965
44060,41.67742,-81.32806
44062,41.45899,-81.02698
44064,41.60567,-81.0477
44065,41.46308,-81.24408
44067,41.31386,-81.5476
44068,41.90619,-80.67886
44070,41.41493,-81.91905
44072,41.47196,-81.32917
44074,41.28858,-82.23643
44076,41.52728,-80.81867
44077,41.69933,-81.21142
44080,41.36886,-81.05966
44081,41.76589,-81.14551
44082,41.76012,-80.56558
44084,41.67242,-80.89605
44085,41.60463,-80.87128
44086,41.67443,-81.05599
44087,41.31706,-81.44106
44089,41.38894,-82.36552
44090,41.16757,-82.22836
44092,41.59797,-81.46867
44093,41.53478,-80.61637
44094,41.60985,-81.3791
44095,41.65223,-81.44209
44099,41.55125,-80.97446
44101,41.48988,-81.6717
44102,41.4749,-81.73751
44103,41.51559,-81.64301
44104,41.48238,-81.62702
44105,41.45069,-81.63032
44106,41.5062,-81.60679
44107,41.48263,-81.80025
44108,41.53992,-81.60988
44109,41.44457,-81.69681
44110,41.56365,-81.57111
44111,41.45775,-81.78986
44112,41.53562,-81.57369
44113,41.48343,-81.69638
44114,41.5137,-81.67625
44115,41.49211,-81.66999
44116,41.47011,-81.85194
44117,41.57145,-81.52695
44118,41.5016,-81.55653
44119,41.58673,-81.54748
44120,41.47337,-81.58015
44121,41.52626,-81.53246
44122,41.4701,-81.51272
44123,41.60365,-81.52441
44124,41.49999,-81.46774
44125,41.40658,-81.61548
44126,41.44263,-81.85278
44127,41.471,-81.64874
44128,41.43766,-81.54036
44129,41.39035,-81.73536
44130,41.378,-81.7868
44131,41.3835,-81.65349
44132,41.60484,-81.49958
44133,41.31388,-81.74497
44134,41.38496,-81.70459
44135,41.42472,-81.82135
44136,41.31265,-81.81064
44137,41.40903,-81.56274
44138,41.37363,-81.92302
44139,41.38325,-81.44439
44140,41.48508,-81.93171
44141,41.30139,-81.61439
44142,41.40205,-81.82406
44143,41.55358,-81.47513
44144,41.43738,-81.74272
44145,41.45245,-81.92944
44146,41.38161,-81.53018
44147,41.31956,-81.67797
44149,41.31223,-81.8563
44201,41.02741,-81.18354
44202,41.31645,-81.34243
44203,41.02013,-81.62896
44212,41.24386,-81.82863
44214,40.95081,-81.99935
44215,41.07195,-81.8994
44216,40.93848,-81.58397
44217,40.95561,-81.9133
44221,41.13898,-81.47624
44223,41.16968,-81.53051
44224,41.17697,-81.44016
44230,40.96237,-81.69064
44231,41.30692,-81.07197
44232,40.93254,-81.46354
44233,41.23943,-81.73513
44234,41.33454,-81.15822
44235,41.0316,-82.12246
44236,41.24669,-81.44775
44240,41.13329,-81.34241
44241,41.23945,-81.34728
44250,41.02159,-81.43331
44251,41.02814,-81.92764
44253,41.16571,-82.03767
44254,41.04522,-82.01282
44255,41.28658,-81.22982
44256,41.14092,-81.85954
44260,41.03684,-81.34079
44262,41.13901,-81.43492
44264,41.22966,-81.54311
44266,41.1662,-81.19829
44270,40.96317,-81.77696
44272,41.08691,-81.18244
44273,41.0291,-81.87739
44274,41.09944,-81.7285
44275,41.09976,-82.09927
44276,40.93667,-81.83502
44278,41.10052,-81.42137
44280,41.23812,-81.92339
44281,41.05851,-81.73854
44285,41.16241,-81.06595
44286,41.23668,-81.64017
44287,40.94,-82.1005
44288,41.2392,-81.08354
44301,41.04398,-81.52449
44302,41.08951,-81.53857
44303,41.10448,-81.53732
44304,41.08585,-81.50908
44305,41.07643,-81.46226
44306,41.03927,-81.48316
44307,41.07049,-81.546
44308,41.0818,-81.51751
44310,41.10771,-81.49948
44311,41.06427,-81.52047
44312,41.01462,-81.4412
44313,41.13239,-81.56512
44314,41.04048,-81.55838
44319,40.98402,-81.53169
44320,41.07818,-81.58379
44321,41.09994,-81.65182
44333,41.16195,-81.63419
44401,41.02457,-80.94658
44402,41.38893,-80.85513
44403,41.24053,-80.58265
44404,41.3277,-80.54861
44405,41.07787,-80.59136
44406,41.01132,-80.77194
44408,40.88487,-80.68569
44410,41.34817,-80.72629
44411,41.0326,-81.05092
44412,41.09671,-81.0229
44413,40.84803,-80.5549
44415,40.77068,-80.70455
44417,41.43336,-80.66329
44418,41.30692,-80.60465
44420,41.17384,-80.67726
44423,40.7524,-80.89963
44424,41.32201,-80.58326
44425,41.17022,-80.57395
44427,40.71672,-80.95686
44428,41.43458,-80.5779
44429,41.09648,-80.98156
44430,41.24011,-80.90804
44431,40.84748,-80.75365
44432,40.74974,-80.75149
44436,41.05775,-80.54241
44437,41.15536,-80.73
44438,41.24252,-80.5345
44439,41.45436,-80.95552
